Fonction;Operation;nbIteration;Marge d'erreur (%);Temps d'entrainement(nanosecondes)
Tanh;AND;733;0,111688;757099
Tanh;AND;734;0,100611;753399
Tanh;AND;735;0,215876;772300
Tanh;AND;736;0,108565;781600
Tanh;AND;737;0,140004;780600
Tanh;AND;738;0,193881;776799
Tanh;AND;739;0,208421;780001
Tanh;AND;740;0,207218;783600
Tanh;AND;741;0,101354;1022201
Tanh;AND;742;0,100854;897800
Tanh;AND;743;0,123866;781999
Tanh;AND;744;0,127747;763500
Tanh;AND;745;0,14634;790700
Tanh;AND;746;0,100615;787400
Tanh;AND;747;0,138422;787700
Tanh;AND;748;0,110491;784700
Tanh;AND;749;0,146625;789100
Tanh;AND;750;0,098115;792301
Tanh;AND;751;0,104609;794000
Tanh;AND;752;0,18185;799500
Tanh;AND;753;0,208649;796801
Tanh;AND;754;0,141072;780400
Tanh;AND;755;0,190708;807300
Tanh;AND;756;0,177188;782400
Tanh;AND;757;0,190616;800499
Tanh;AND;758;0,178101;800599
Tanh;AND;759;0,191916;806100
Tanh;AND;760;0,133064;1023700
Tanh;AND;761;0,20516;803500
Tanh;AND;762;0,171962;786699
Tanh;AND;763;0,118287;782900
Tanh;AND;764;0,097644;790400
Tanh;AND;765;0,160146;790300
Tanh;AND;766;0,093919;805100
Tanh;AND;767;0,110634;798300
Tanh;AND;768;0,096747;793500
Tanh;AND;769;0,113398;798300
Tanh;AND;770;0,092351;816601
Tanh;AND;771;0,151628;793399
